일괄 실행: 창 21개
✓ ch19-1-0 (406x333, 29s)
✓ ch19-1-1 (406x333, 31s)
✓ ch19-1-2 (406x353, 33s)
✓ ch19-1-3 (406x353, 35s)
✓ ch19-1-4 (456x293, 37s)
✓ ch19-1-6 (426x373, 39s)
✓ ch19-1-p0 (446x293, 41s)
✓ ch19-1-p1 (406x333, 43s)
✓ ch19-1-s2 (326x213, 45s)
✓ ch19-1-s4 (326x223, 47s)
✓ ch19-1-s6 (326x193, 48s)
✓ ch19-2-0 (446x373, 50s)
✓ ch19-2-1 (426x293, 52s)
✓ ch19-2-2 (486x353, 54s)
✓ ch19-2-4 (406x333, 56s)
✓ ch19-2-p0 (406x373, 58s)
✓ ch19-2-p1 (406x333, 61s)
✓ ch19-2-s1 (326x193, 63s)
✓ ch19-2-s3 (326x153, 65s)
✓ ch19-2-s4 (326x213, 67s)
✓ ch19-2-s8 (326x193, 69s)
✓ ch19-1-5 (개별, 92.9s, 366x293)
✓ ch19-2-3 (개별, 98.0s, 456x333)
